Dis No,Year,Seq,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Entry Criteria,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI
1961-0010-USA,1961,10,Natural,Meteorological,Storm,Tropical cyclone,,Carla,Kill,United States of America (the),USA,Northern America,Americas,Texas,,,,,,,,249,Kph,,,,,1961,9,11,1961,9,11,46,,,,,,,408000,11.69207506
1963-0082-USA,1963,82,Natural,Meteorological,Storm,Convective storm,Tornado,,Kill,United States of America (the),USA,Northern America,Americas,Gainesville (Georgie),,,,,,,,,Kph,,,,,1963,,,1963,,,203,,,,,,,,11.97891616
1963-0061-USA,1963,61,Natural,Meteorological,Extreme temperature,Cold wave,,,Kill,United States of America (the),USA,Northern America,Americas,,,,,,,,,,°C,,,,,1963,1,,1963,1,,150,,,,,,,,11.97891616
1964-0021-USA,1964,21,Natural,Geophysical,Earthquake,Tsunami,,,Kill,United States of America (the),USA,Northern America,Americas,"Anchorage, Chitina, Glennallen, Homer, Hope, Kasilof, Kenai, Kodiak, Moose Pass, Portage, Seldovia, Seward, Sterling, Valdez, Wasilla, Whittier (Alaska)",,Tsunami/Tidal wave,,,,,,9,Richter,60.908,-147.339,18:36,,1964,3,27,1964,3,27,131,,,,,,,311000,12.13211749
1964-0012-USA,1964,12,Natural,Meteorological,Storm,Tropical cyclone,,,Kill,United States of America (the),USA,Northern America,Americas,Louisiana,,,,,,,,209,Kph,,,,,1964,10,,1964,10,,38,,,,,,,,12.13211749
1964-0050-USA,1964,50,Natural,Meteorological,Storm,Tropical cyclone,,Dora,SigDam,United States of America (the),USA,Northern America,Americas,Florida,,,,,,,,,Kph,,,,,1964,9,9,1964,9,9,5,,,,,,,250000,12.13211749
1965-0020-USA,1965,20,Natural,Meteorological,Storm,Convective storm,Tornado,,Kill,United States of America (the),USA,Northern America,Americas,"Illinois, Indiana, Michigan",,,,,No,No,,,Kph,,,,,1965,4,11,1965,4,11,271,1000,,,1000,,,190000,12.32443267
1965-0024-USA,1965,24,Natural,Geophysical,Earthquake,Ground movement,,,SigDam,United States of America (the),USA,Northern America,Americas,Seattle (Washington),,,,,,,,7,Richter,47.4,-122.3,7:28,,1965,4,29,1965,4,29,7,,,,,,,28000,12.32443267
1965-0053-USA,1965,53,Natural,Meteorological,Storm,Tropical cyclone,,Betsy,Kill,United States of America (the),USA,Northern America,Americas,"Florida, Louisiana, Alabama, Mississippi",,,,,,,,,Kph,,,,,1965,9,7,1965,9,7,299,,,,,,,1420000,12.32443267
1966-0049-USA,1966,49,Natural,Meteorological,Storm,Convective storm,Tornado,,Kill,United States of America (the),USA,Northern America,Americas,Kansas,,,,,,,,,Kph,,,,,1966,6,8,1966,6,8,26,,,,,,,100000,12.69602817
1966-0055-USA,1966,55,Natural,Meteorological,Extreme temperature,Heat wave,,,Kill,United States of America (the),USA,Northern America,Americas,Illinois state,,,,,,,,,°C,,,,,1966,7,,1966,7,,80,,,,,,,,12.69602817
1966-0056-USA,1966,56,Natural,Meteorological,Extreme temperature,Heat wave,,,Kill,United States of America (the),USA,Northern America,Americas,"St Louis, Missouri",,,,,,,,,°C,,,,,1966,7,9,1966,7,9,182,,,,,,,,12.69602817
1967-0059-USA,1967,59,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Beulah,Kill,United States of America (the),USA,Northern America,Americas,Texas,,,,,No,No,,,Kph,,,,,1967,9,19,1967,9,19,15,,,,,,,200000,13.04806211
1969-0087-USA,1969,87,Natural,Meteorological,Storm,Tropical cyclone,,Camille,Kill,United States of America (the),USA,Northern America,Americas,"Mississippi, Louisiana, Virginia",,,,,No,No,,249,Kph,,,,,1969,8,17,1969,8,17,323,,,,,,,1420000,14.34862782
1970-0030-USA,1970,30,Natural,Meteorological,Storm,Convective storm,Tornado,,Kill,United States of America (the),USA,Northern America,Americas,Lubbock (Texas),,,,,,,,,Kph,,,,,1970,5,11,1970,5,11,26,,,,,,,147000,15.18633546
1970-0039-USA,1970,39,Natural,Meteorological,Storm,Tropical cyclone,,Celia,Kill,United States of America (the),USA,Northern America,Americas,Texas,,,,,,,,,Kph,,,,,1970,8,3,1970,8,3,11,,,,,,,450000,15.18633546
1970-0045-USA,1970,45,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,,SigDam,United States of America (the),USA,Northern America,Americas,San Diego,,,,,,,,,Km2,,,,,1970,9,,1970,9,,,,,,,,,100000,15.18633546
1971-0016-USA,1971,16,Natural,Geophysical,Earthquake,Ground movement,,,Kill,United States of America (the),USA,Northern America,Americas,San Fernando (Los Angeles),,,,,,,,7,Richter,34.416,-118.37,6:00,,1971,2,9,1971,2,9,65,2000,,,2000,,35000,553000,15.83825463
1972-0011-USA,1972,11,Natural,Hydrological,Landslide,Landslide,,,Kill,United States of America (the),USA,Northern America,Americas,West Virginia,,,,,,,,,,,,,,1972,,,1972,,,400,,,,,,,,16.35652475
1972-0035-USA,1972,35,Natural,Meteorological,Storm,Tropical cyclone,,Agnes,Kill,United States of America (the),USA,Northern America,Americas,East,,,,,,,,153,Kph,,,,,1972,6,18,1972,6,18,122,,,,,,,2100000,16.35652475
