year,month,state,category,commodity,unit,value,disasterType,yearlyValue,endMonth,endYear
1980,JAN,ALABAMA,Crop,POTATOES,CWT,183333.33333333334,,2200000,,
1980,FEB,ALABAMA,Crop,POTATOES,CWT,183333.33333333334,,2200000,,
1980,MAR,ALABAMA,Crop,POTATOES,CWT,183333.33333333334,,2200000,,
1980,APR,ALABAMA,Crop,POTATOES,CWT,183333.33333333334,,2200000,,
1980,MAY,ALABAMA,Crop,POTATOES,CWT,183333.33333333334,,2200000,,
1980,JUN,ALABAMA,Crop,POTATOES,CWT,183333.33333333334,,2200000,,
1980,JUL,ALABAMA,Crop,POTATOES,CWT,183333.33333333334,,2200000,,
1980,AUG,ALABAMA,Crop,POTATOES,CWT,183333.33333333334,,2200000,,
1980,SEP,ALABAMA,Crop,POTATOES,CWT,183333.33333333334,,2200000,,
1980,OCT,ALABAMA,Crop,POTATOES,CWT,183333.33333333334,,2200000,,
1980,NOV,ALABAMA,Crop,POTATOES,CWT,183333.33333333334,,2200000,,
1980,DEC,ALABAMA,Crop,POTATOES,CWT,183333.33333333334,,2200000,,
1980,JAN,ALABAMA,Crop,WHEAT,BU,1105000.0,,13260000,,
1980,FEB,ALABAMA,Crop,WHEAT,BU,1105000.0,,13260000,,
1980,MAR,ALABAMA,Crop,WHEAT,BU,1105000.0,,13260000,,
1980,APR,ALABAMA,Crop,WHEAT,BU,1105000.0,,13260000,,
1980,MAY,ALABAMA,Crop,WHEAT,BU,1105000.0,,13260000,,
1980,JUN,ALABAMA,Crop,WHEAT,BU,1105000.0,,13260000,,
1980,JUL,ALABAMA,Crop,WHEAT,BU,1105000.0,,13260000,,
1980,AUG,ALABAMA,Crop,WHEAT,BU,1105000.0,,13260000,,
1980,SEP,ALABAMA,Crop,WHEAT,BU,1105000.0,,13260000,,
1980,OCT,ALABAMA,Crop,WHEAT,BU,1105000.0,,13260000,,
1980,NOV,ALABAMA,Crop,WHEAT,BU,1105000.0,,13260000,,
1980,DEC,ALABAMA,Crop,WHEAT,BU,1105000.0,,13260000,,
1980,JAN,ARIZONA,Crop,POTATOES,CWT,212666.66666666666,,2552000,,
1980,FEB,ARIZONA,Crop,POTATOES,CWT,212666.66666666666,Flood,2552000,FEB,1980
1980,MAR,ARIZONA,Crop,POTATOES,CWT,212666.66666666666,,2552000,,
1980,APR,ARIZONA,Crop,POTATOES,CWT,212666.66666666666,,2552000,,
1980,MAY,ARIZONA,Crop,POTATOES,CWT,212666.66666666666,,2552000,,
1980,JUN,ARIZONA,Crop,POTATOES,CWT,212666.66666666666,,2552000,,
1980,JUL,ARIZONA,Crop,POTATOES,CWT,212666.66666666666,,2552000,,
1980,AUG,ARIZONA,Crop,POTATOES,CWT,212666.66666666666,,2552000,,
1980,SEP,ARIZONA,Crop,POTATOES,CWT,212666.66666666666,,2552000,,
1980,OCT,ARIZONA,Crop,POTATOES,CWT,212666.66666666666,,2552000,,
1980,NOV,ARIZONA,Crop,POTATOES,CWT,212666.66666666666,,2552000,,
1980,DEC,ARIZONA,Crop,POTATOES,CWT,212666.66666666666,,2552000,,
1980,JAN,ARIZONA,Crop,WHEAT,BU,2866666.6666666665,,34400001,,
1980,FEB,ARIZONA,Crop,WHEAT,BU,2866666.6666666665,Flood,34400001,FEB,1980
1980,MAR,ARIZONA,Crop,WHEAT,BU,2866666.6666666665,,34400001,,
1980,APR,ARIZONA,Crop,WHEAT,BU,2866666.6666666665,,34400001,,
1980,MAY,ARIZONA,Crop,WHEAT,BU,2866666.6666666665,,34400001,,
1980,JUN,ARIZONA,Crop,WHEAT,BU,2866666.6666666665,,34400001,,
1980,JUL,ARIZONA,Crop,WHEAT,BU,2866666.6666666665,,34400001,,
1980,AUG,ARIZONA,Crop,WHEAT,BU,2866666.6666666665,,34400001,,
1980,SEP,ARIZONA,Crop,WHEAT,BU,2866666.6666666665,,34400001,,
1980,OCT,ARIZONA,Crop,WHEAT,BU,2866666.6666666665,,34400001,,
1980,NOV,ARIZONA,Crop,WHEAT,BU,2866666.6666666665,,34400001,,
1980,DEC,ARIZONA,Crop,WHEAT,BU,2866666.6666666665,,34400001,,
1980,JAN,ARKANSAS,Crop,RICE,CWT,8769166.666666666,,105230001,,
1980,FEB,ARKANSAS,Crop,RICE,CWT,8769166.666666666,,105230001,,
1980,MAR,ARKANSAS,Crop,RICE,CWT,8769166.666666666,,105230001,,
1980,APR,ARKANSAS,Crop,RICE,CWT,8769166.666666666,,105230001,,
1980,MAY,ARKANSAS,Crop,RICE,CWT,8769166.666666666,,105230001,,
1980,JUN,ARKANSAS,Crop,RICE,CWT,8769166.666666666,,105230001,,
1980,JUL,ARKANSAS,Crop,RICE,CWT,8769166.666666666,,105230001,,
1980,AUG,ARKANSAS,Crop,RICE,CWT,8769166.666666666,,105230001,,
1980,SEP,ARKANSAS,Crop,RICE,CWT,8769166.666666666,,105230001,,
1980,OCT,ARKANSAS,Crop,RICE,CWT,8769166.666666666,,105230001,,
1980,NOV,ARKANSAS,Crop,RICE,CWT,8769166.666666666,,105230001,,
1980,DEC,ARKANSAS,Crop,RICE,CWT,8769166.666666666,,105230001,,
1980,JAN,ARKANSAS,Crop,WHEAT,BU,5478333.333333333,,65740001,,
1980,FEB,ARKANSAS,Crop,WHEAT,BU,5478333.333333333,,65740001,,
1980,MAR,ARKANSAS,Crop,WHEAT,BU,5478333.333333333,,65740001,,
1980,APR,ARKANSAS,Crop,WHEAT,BU,5478333.333333333,,65740001,,
1980,MAY,ARKANSAS,Crop,WHEAT,BU,5478333.333333333,,65740001,,
1980,JUN,ARKANSAS,Crop,WHEAT,BU,5478333.333333333,,65740001,,
