year,quarter,state,commodity,unit,value,percent
2015,Q1,ALABAMA,CHICKENS,LB,1088189000.0,0.0
2015,Q1,ALABAMA,EGGS,DOZEN,86666800.0,0.0
2015,Q1,ALABAMA,EGGS,EGGS,1040000000.0,0.0
2015,Q1,ALABAMA,RED MEAT,LB,2000000.0,0.0
2015,Q1,ALABAMA,TOMATOES,CWT,96249.99999999999,0.0
2015,Q1,ALABAMA,WHEAT,BU,14455000.000000002,0.0
2015,Q1,ALABAMA,WHEAT,PCT BY TYPE,25.0,0.0
2015,Q1,ALASKA,POTATOES,CWT,69999.99999999999,0.0
2015,Q1,ARIZONA,MILK,LB,1246000000.0,0.0
2015,Q1,ARIZONA,MILK,LB / HEAD,6230.0,0.0
2015,Q1,ARIZONA,POTATOES,CWT,507499.9999999999,0.0
2015,Q1,ARIZONA,RED MEAT,LB,108700000.0,0.0
2015,Q1,ARIZONA,WHEAT,BU,26942000.000000004,0.0
2015,Q1,ARIZONA,WHEAT,PCT BY TYPE,25.0,0.0
2015,Q1,ARKANSAS,CHICKENS,LB,1068012000.0,0.0
2015,Q1,ARKANSAS,EGGS,DOZEN,134200000.0,0.0
2015,Q1,ARKANSAS,EGGS,EGGS,1610400000.0,0.0
2015,Q1,ARKANSAS,RED MEAT,LB,1100000.0,0.0
2015,Q1,ARKANSAS,RICE,CWT,145424875.00000003,0.0
2015,Q1,ARKANSAS,TOMATOES,CWT,37999.99999999999,0.0
2015,Q1,ARKANSAS,TURKEYS,LB,154589000.0,0.0
2015,Q1,ARKANSAS,WHEAT,BU,30975000.0,0.0
2015,Q1,ARKANSAS,WHEAT,PCT BY TYPE,25.0,0.0
2015,Q1,CALIFORNIA,BUTTER,LB,165318000.0,0.0
2015,Q1,CALIFORNIA,CHEESE,LB,1720749000.0,0.0
2015,Q1,CALIFORNIA,CHICKENS,LB,295343000.0,0.0
2015,Q1,CALIFORNIA,EGGS,DOZEN,65725100.0,0.0
2015,Q1,CALIFORNIA,EGGS,EGGS,788700000.0,0.0
2015,Q1,CALIFORNIA,MILK,LB,10834643000.0,0.0
2015,Q1,CALIFORNIA,MILK,LB / HEAD,5910.0,0.0
2015,Q1,CALIFORNIA,POTATOES,CWT,8873500.0,0.0
2015,Q1,CALIFORNIA,RED MEAT,LB,327300000.0,0.0
2015,Q1,CALIFORNIA,RICE,CWT,52503250.00000001,0.0
2015,Q1,CALIFORNIA,TOMATOES,CWT,2193250.0000000005,0.0
2015,Q1,CALIFORNIA,TOMATOES,TONS,7167000.0,0.0
2015,Q1,CALIFORNIA,TURKEYS,LB,52205000.0,0.0
2015,Q1,CALIFORNIA,WHEAT,BU,37290000.0,0.0
2015,Q1,CALIFORNIA,WHEAT,PCT BY TYPE,25.0,0.0
2015,Q1,COLORADO,EGGS,DOZEN,25391800.0,0.0
2015,Q1,COLORADO,EGGS,EGGS,304700000.0,0.0
2015,Q1,COLORADO,MILK,LB,914000000.0,0.0
2015,Q1,COLORADO,MILK,LB / HEAD,6230.0,0.0
2015,Q1,COLORADO,POTATOES,CWT,16956750.0,0.0
2015,Q1,COLORADO,RED MEAT,LB,502700000.0,0.0
2015,Q1,COLORADO,WHEAT,BU,168675000.0,0.0
2015,Q1,COLORADO,WHEAT,PCT BY TYPE,50.0,0.0
2015,Q1,DELAWARE,CHICKENS,LB,428911000.0,0.0
2015,Q1,DELAWARE,POTATOES,CWT,102000.0,0.0
2015,Q1,DELAWARE,WHEAT,BU,4457499.999999999,0.0
2015,Q1,DELAWARE,WHEAT,PCT BY TYPE,25.0,0.0
2015,Q1,FLORIDA,CHICKENS,LB,72392000.0,0.0
2015,Q1,FLORIDA,EGGS,DOZEN,103200000.0,0.0
2015,Q1,FLORIDA,EGGS,EGGS,1238400000.0,0.0
2015,Q1,FLORIDA,MILK,LB,699000000.0,0.0
2015,Q1,FLORIDA,MILK,LB / HEAD,5615.0,0.0
2015,Q1,FLORIDA,POTATOES,CWT,3404000.000000001,0.0
2015,Q1,FLORIDA,RED MEAT,LB,21800000.0,0.0
2015,Q1,FLORIDA,TOMATOES,CWT,2374750.0000000005,0.0
2015,Q1,FLORIDA,WHEAT,BU,660000.0,0.0
2015,Q1,FLORIDA,WHEAT,PCT BY TYPE,25.0,0.0
2015,Q1,GEORGIA,CHICKENS,LB,1357395000.0,0.0
2015,Q1,GEORGIA,EGGS,DOZEN,203466600.0,0.0
2015,Q1,GEORGIA,EGGS,EGGS,2441600000.0,0.0
2015,Q1,GEORGIA,RED MEAT,LB,30600000.0,0.0
2015,Q1,GEORGIA,TOMATOES,CWT,229500.0,0.0
2015,Q1,GEORGIA,WHEAT,BU,17467500.000000004,0.0
2015,Q1,GEORGIA,WHEAT,PCT BY TYPE,25.0,0.0
2015,Q1,HAWAII,RED MEAT,LB,2300000.0,0.0
2015,Q1,IDAHO,CANOLA,LB,18525000.0,0.0
2015,Q1,IDAHO,CHEESE,LB,643349000.0,0.0
2015,Q1,IDAHO,MILK,LB,3392000000.0,0.0
2015,Q1,IDAHO,MILK,LB / HEAD,5835.0,0.0
2015,Q1,IDAHO,POTATOES,CWT,97779999.99999999,0.0
2015,Q1,IDAHO,POTATOES,PCT BY GRADE,47.74999999999999,0.0
2015,Q1,IDAHO,RED MEAT,LB,10600000.0,0.0
2015,Q1,IDAHO,WHEAT,BU,191646250.00000003,0.0
2015,Q1,IDAHO,WHEAT,PCT BY TYPE,49.99999999999999,0.0
2015,Q1,ILLINOIS,CHEESE,LB,37127000.0,0.0
2015,Q1,ILLINOIS,EGGS,DOZEN,55633200.0,0.0
2015,Q1,ILLINOIS,EGGS,EGGS,667600000.0,0.0
2015,Q1,ILLINOIS,MILK,LB,483000000.0,0.0
2015,Q1,ILLINOIS,MILK,LB / HEAD,5085.0,0.0
2015,Q1,ILLINOIS,POTATOES,CWT,1992500.0000000002,0.0
2015,Q1,ILLINOIS,RED MEAT,LB,810200000.0,0.0
2015,Q1,ILLINOIS,WHEAT,BU,72532500.0,0.0
2015,Q1,ILLINOIS,WHEAT,PCT BY TYPE,25.0,0.0
2015,Q1,INDIANA,CHICKENS,LB,49126000.0,0.0
2015,Q1,INDIANA,EGGS,DOZEN,308400200.0,0.0
2015,Q1,INDIANA,EGGS,EGGS,3700800000.0,0.0
2015,Q1,INDIANA,MILK,LB,978000000.0,0.0
2015,Q1,INDIANA,MILK,LB / HEAD,5400.0,0.0
2015,Q1,INDIANA,RED MEAT,LB,448100000.0,0.0
2015,Q1,INDIANA,TOMATOES,CWT,12500.0,0.0
2015,Q1,INDIANA,TOMATOES,TONS,95810.00000000001,0.0
2015,Q1,INDIANA,TURKEYS,LB,172005000.0,0.0
2015,Q1,INDIANA,WHEAT,BU,41780000.0,0.0
2015,Q1,INDIANA,WHEAT,PCT BY TYPE,25.0,0.0
2015,Q1,IOWA,CHEESE,LB,117742000.0,0.0
2015,Q1,IOWA,EGGS,DOZEN,695716600.0,0.0
2015,Q1,IOWA,EGGS,EGGS,8348600000.0,0.0
2015,Q1,IOWA,MILK,LB,1211000000.0,0.0
2015,Q1,IOWA,MILK,LB / HEAD,5735.0,0.0
2015,Q1,IOWA,RED MEAT,LB,1786400000.0,0.0
2015,Q1,IOWA,TURKEYS,LB,102130000.0,0.0
2015,Q1,IOWA,WHEAT,BU,858000.0,0.0
2015,Q1,IOWA,WHEAT,PCT BY TYPE,25.000000000000007,0.0
2015,Q1,KANSAS,MILK,LB,803000000.0,0.0
2015,Q1,KANSAS,MILK,LB / HEAD,5600.0,0.0
2015,Q1,KANSAS,POTATOES,CWT,603000.0,0.0
2015,Q1,KANSAS,RED MEAT,LB,1192200000.0,0.0
2015,Q1,KANSAS,WHEAT,BU,722449999.9999999,0.0
2015,Q1,KANSAS,WHEAT,PCT BY TYPE,25.0,0.0
2015,Q1,KENTUCKY,CHICKENS,LB,311928000.0,0.0
2015,Q1,KENTUCKY,RED MEAT,LB,139700000.0,0.0
2015,Q1,KENTUCKY,WHEAT,BU,64812500.0,0.0
2015,Q1,KENTUCKY,WHEAT,PCT BY TYPE,25.0,0.0
2015,Q1,LOUISIANA,CHICKENS,LB,218797000.0,0.0
2015,Q1,LOUISIANA,RED MEAT,LB,1300000.0,0.0
2015,Q1,LOUISIANA,RICE,CWT,42588000.0,0.0
2015,Q1,LOUISIANA,WHEAT,BU,4543999.999999999,0.0
2015,Q1,LOUISIANA,WHEAT,PCT BY TYPE,25.0,0.0
2015,Q1,MAINE,POTATOES,CWT,12080500.000000002,0.0
2015,Q1,MAINE,POTATOES,PCT BY GRADE,98.0,0.0
2015,Q1,MARYLAND,CHICKENS,LB,150266000.0,0.0
2015,Q1,MARYLAND,EGGS,DOZEN,32650200.0,0.0
2015,Q1,MARYLAND,EGGS,EGGS,391800000.0,0.0
2015,Q1,MARYLAND,POTATOES,CWT,396000.0,0.0
2015,Q1,MARYLAND,RED MEAT,LB,7900000.0,0.0
2015,Q1,MARYLAND,WHEAT,BU,33390000.0,0.0
2015,Q1,MARYLAND,WHEAT,PCT BY TYPE,25.0,0.0
2015,Q1,MASSACHUSETTS,POTATOES,CWT,819000.0,0.0
2015,Q1,MICHIGAN,EGGS,DOZEN,79075000.0,0.0
2015,Q1,MICHIGAN,EGGS,EGGS,948900000.0,0.0
2015,Q1,MICHIGAN,MILK,LB,2470000000.0,0.0
2015,Q1,MICHIGAN,MILK,LB / HEAD,6130.0,0.0
2015,Q1,MICHIGAN,POTATOES,CWT,13162500.0,0.0
2015,Q1,MICHIGAN,RED MEAT,LB,108700000.0,0.0
2015,Q1,MICHIGAN,TOMATOES,CWT,195000.0,0.0
2015,Q1,MICHIGAN,TOMATOES,TONS,47520.0,0.0
2015,Q1,MICHIGAN,WHEAT,BU,77617500.0,0.0
2015,Q1,MICHIGAN,WHEAT,PCT BY TYPE,25.0,0.0
2015,Q1,MINNESOTA,CANOLA,LB,19730000.000000004,0.0
2015,Q1,MINNESOTA,CHEESE,LB,302636000.0,0.0
