"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2020","JAN","","STATE","ALABAMA","01","","","","","","","00000000","","RED MEAT","RED MEAT, SLAUGHTER, COMMERCIAL - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","600,000",""
"SURVEY","2020","JAN","","STATE","ALASKA","02","","","","","","","00000000","","RED MEAT","RED MEAT, SLAUGHTER, COMMERCIAL - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","100,000",""
"SURVEY","2020","JAN","","STATE","ARIZONA","04","","","","","","","00000000","","RED MEAT","RED MEAT, SLAUGHTER, COMMERCIAL - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","42,900,000",""
"SURVEY","2020","JAN","","STATE","ARKANSAS","05","","","","","","","00000000","","RED MEAT","RED MEAT, SLAUGHTER, COMMERCIAL - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","400,000",""
"SURVEY","2020","JAN","","STATE","CALIFORNIA","06","","","","","","","00000000","","RED MEAT","RED MEAT, SLAUGHTER, COMMERCIAL - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","156,500,000",""
"SURVEY","2020","JAN","","STATE","COLORADO","08","","","","","","","00000000","","RED MEAT","RED MEAT, SLAUGHTER, COMMERCIAL - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","188,200,000",""
"SURVEY","2020","JAN","","STATE","FLORIDA","12","","","","","","","00000000","","RED MEAT","RED MEAT, SLAUGHTER, COMMERCIAL - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","3,500,000",""
"SURVEY","2020","JAN","","STATE","GEORGIA","13","","","","","","","00000000","","RED MEAT","RED MEAT, SLAUGHTER, COMMERCIAL - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","15,200,000",""
"SURVEY","2020","JAN","","STATE","HAWAII","15","","","","","","","00000000","","RED MEAT","RED MEAT, SLAUGHTER, COMMERCIAL - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","800,000",""
"SURVEY","2020","JAN","","STATE","IDAHO","16","","","","","","","00000000","","RED MEAT","RED MEAT, SLAUGHTER, COMMERCIAL - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","36,200,000",""
"SURVEY","2020","JAN","","STATE","ILLINOIS","17","","","","","","","00000000","","RED MEAT","RED MEAT, SLAUGHTER, COMMERCIAL - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","314,200,000",""
"SURVEY","2020","JAN","","STATE","INDIANA","18","","","","","","","00000000","","RED MEAT","RED MEAT, SLAUGHTER, COMMERCIAL - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","165,900,000",""
"SURVEY","2020","JAN","","STATE","IOWA","19","","","","","","","00000000","","RED MEAT","RED MEAT, SLAUGHTER, COMMERCIAL - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","798,700,000",""
"SURVEY","2020","JAN","","STATE","KANSAS","20","","","","","","","00000000","","RED MEAT","RED MEAT, SLAUGHTER, COMMERCIAL - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","518,400,000",""
"SURVEY","2020","JAN","","STATE","KENTUCKY","21","","","","","","","00000000","","RED MEAT","RED MEAT, SLAUGHTER, COMMERCIAL - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","52,500,000",""
"SURVEY","2020","JAN","","STATE","LOUISIANA","22","","","","","","","00000000","","RED MEAT","RED MEAT, SLAUGHTER, COMMERCIAL - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","400,000",""
"SURVEY","2020","JAN","","STATE","MARYLAND","24","","","","","","","00000000","","RED MEAT","RED MEAT, SLAUGHTER, COMMERCIAL - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","3,100,000",""
"SURVEY","2020","JAN","","STATE","MICHIGAN","26","","","","","","","00000000","","RED MEAT","RED MEAT, SLAUGHTER, COMMERCIAL - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","102,100,000",""
"SURVEY","2020","JAN","","STATE","MINNESOTA","27","","","","","","","00000000","","RED MEAT","RED MEAT, SLAUGHTER, COMMERCIAL - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","255,900,000",""
"SURVEY","2020","JAN","","STATE","MISSISSIPPI","28","","","","","","","00000000","","RED MEAT","RED MEAT, SLAUGHTER, COMMERCIAL - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","600,000",""
"SURVEY","2020","JAN","","STATE","MISSOURI","29","","","","","","","00000000","","RED MEAT","RED MEAT, SLAUGHTER, COMMERCIAL - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","176,100,000",""
"SURVEY","2020","JAN","","STATE","MONTANA","30","","","","","","","00000000","","RED MEAT","RED MEAT, SLAUGHTER, COMMERCIAL - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","1,000,000",""
"SURVEY","2020","JAN","","STATE","NEBRASKA","31","","","","","","","00000000","","RED MEAT","RED MEAT, SLAUGHTER, COMMERCIAL - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","712,500,000",""
"SURVEY","2020","JAN","","STATE","NEVADA","32","","","","","","","00000000","","RED MEAT","RED MEAT, SLAUGHTER, COMMERCIAL - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","100,000",""
"SURVEY","2020","JAN","","STATE","NEW HAMPSHIRE","33","","","","","","","00000000","","RED MEAT","RED MEAT, SLAUGHTER, COMMERCIAL - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","2,400,000",""
"SURVEY","2020","JAN","","STATE","NEW JERSEY","34","","","","","","","00000000","","RED MEAT","RED MEAT, SLAUGHTER, COMMERCIAL - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","3,700,000",""
"SURVEY","2020","JAN","","STATE","NEW MEXICO","35","","","","","","","00000000","","RED MEAT","RED MEAT, SLAUGHTER, COMMERCIAL - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","400,000",""
"SURVEY","2020","JAN","","STATE","NEW YORK","36","","","","","","","00000000","","RED MEAT","RED MEAT, SLAUGHTER, COMMERCIAL - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","3,200,000",""
"SURVEY","2020","JAN","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","RED MEAT","RED MEAT, SLAUGHTER, COMMERCIAL - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","251,400,000",""
"SURVEY","2020","JAN","","STATE","NORTH DAKOTA","38","","","","","","","00000000","","RED MEAT","RED MEAT, SLAUGHTER, COMMERCIAL - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","700,000",""
"SURVEY","2020","JAN","","STATE","OHIO","39","","","","","","","00000000","","RED MEAT","RED MEAT, SLAUGHTER, COMMERCIAL - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","24,600,000",""
"SURVEY","2020","JAN","","STATE","OKLAHOMA","40","","","","","","","00000000","","RED MEAT","RED MEAT, SLAUGHTER, COMMERCIAL - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","109,700,000",""
"SURVEY","2020","JAN","","STATE","OREGON","41","","","","","","","00000000","","RED MEAT","RED MEAT, SLAUGHTER, COMMERCIAL - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","3,800,000",""
"SURVEY","2020","JAN","","STATE","PENNSYLVANIA","42","","","","","","","00000000","","RED MEAT","RED MEAT, SLAUGHTER, COMMERCIAL - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","137,600,000",""
"SURVEY","2020","JAN","","STATE","SOUTH CAROLINA","45","","","","","","","00000000","","RED MEAT","RED MEAT, SLAUGHTER, COMMERCIAL - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","14,300,000",""
"SURVEY","2020","JAN","","STATE","SOUTH DAKOTA","46","","","","","","","00000000","","RED MEAT","RED MEAT, SLAUGHTER, COMMERCIAL - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","142,900,000",""
"SURVEY","2020","JAN","","STATE","TENNESSEE","47","","","","","","","00000000","","RED MEAT","RED MEAT, SLAUGHTER, COMMERCIAL - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","27,000,000",""
"SURVEY","2020","JAN","","STATE","TEXAS","48","","","","","","","00000000","","RED MEAT","RED MEAT, SLAUGHTER, COMMERCIAL - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","397,800,000",""
"SURVEY","2020","JAN","","STATE","UTAH","49","","","","","","","00000000","","RED MEAT","RED MEAT, SLAUGHTER, COMMERCIAL - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","49,000,000",""
"SURVEY","2020","JAN","","STATE","VIRGINIA","51","","","","","","","00000000","","RED MEAT","RED MEAT, SLAUGHTER, COMMERCIAL - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","52,600,000",""
"SURVEY","2020","JAN","","STATE","WASHINGTON","53","","","","","","","00000000","","RED MEAT","RED MEAT, SLAUGHTER, COMMERCIAL - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","80,700,000",""
"SURVEY","2020","JAN","","STATE","WEST VIRGINIA","54","","","","","","","00000000","","RED MEAT","RED MEAT, SLAUGHTER, COMMERCIAL - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","800,000",""
"SURVEY","2020","JAN","","STATE","WISCONSIN","55","","","","","","","00000000","","RED MEAT","RED MEAT, SLAUGHTER, COMMERCIAL - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","110,200,000",""
"SURVEY","2020","JAN","","STATE","WYOMING","56","","","","","","","00000000","","RED MEAT","RED MEAT, SLAUGHTER, COMMERCIAL - PRODUCTION, MEASURED IN LB","TOTAL","NOT SPECIFIED","500,000",""
