year,month,state,category,commodity,unit,value,disasterType,yearlyValue,endMonth,endYear
1980,JAN,ALABAMA,Dairy,MILK,LB,52000000,,610000000,,
1980,JAN,ALABAMA,Dairy,MILK,LB / HEAD,780,,9375,,
1980,FEB,ALABAMA,Dairy,MILK,LB,51000000,,610000000,,
1980,FEB,ALABAMA,Dairy,MILK,LB / HEAD,770,,9375,,
1980,MAR,ALABAMA,Dairy,MILK,LB,54000000,,610000000,,
1980,MAR,ALABAMA,Dairy,MILK,LB / HEAD,820,,9375,,
1980,APR,ALABAMA,Dairy,MILK,LB,54000000,,610000000,,
1980,APR,ALABAMA,Dairy,MILK,LB / HEAD,820,,9375,,
1980,MAY,ALABAMA,Dairy,MILK,LB,52000000,,610000000,,
1980,MAY,ALABAMA,Dairy,MILK,LB / HEAD,790,,9375,,
1980,JUN,ALABAMA,Dairy,MILK,LB,49000000,,610000000,,
1980,JUN,ALABAMA,Dairy,MILK,LB / HEAD,755,,9375,,
1980,JUL,ALABAMA,Dairy,MILK,LB,48000000,,610000000,,
1980,JUL,ALABAMA,Dairy,MILK,LB / HEAD,740,,9375,,
1980,AUG,ALABAMA,Dairy,MILK,LB,49000000,,610000000,,
1980,AUG,ALABAMA,Dairy,MILK,LB / HEAD,755,,9375,,
1980,SEP,ALABAMA,Dairy,MILK,LB,49000000,,610000000,,
1980,SEP,ALABAMA,Dairy,MILK,LB / HEAD,755,,9375,,
1980,OCT,ALABAMA,Dairy,MILK,LB,51000000,,610000000,,
1980,OCT,ALABAMA,Dairy,MILK,LB / HEAD,800,,9375,,
1980,NOV,ALABAMA,Dairy,MILK,LB,50000000,,610000000,,
1980,NOV,ALABAMA,Dairy,MILK,LB / HEAD,780,,9375,,
1980,DEC,ALABAMA,Dairy,MILK,LB,51000000,,610000000,,
1980,DEC,ALABAMA,Dairy,MILK,LB / HEAD,810,,9375,,
1980,JAN,ARKANSAS,Dairy,MILK,LB,61000000,,740000000,,
1980,JAN,ARKANSAS,Dairy,MILK,LB / HEAD,850,,10220,,
1980,FEB,ARKANSAS,Dairy,MILK,LB,58000000,,740000000,,
1980,FEB,ARKANSAS,Dairy,MILK,LB / HEAD,820,,10220,,
1980,MAR,ARKANSAS,Dairy,MILK,LB,60000000,,740000000,,
1980,MAR,ARKANSAS,Dairy,MILK,LB / HEAD,820,,10220,,
1980,APR,ARKANSAS,Dairy,MILK,LB,67000000,,740000000,,
1980,APR,ARKANSAS,Dairy,MILK,LB / HEAD,920,,10220,,
1980,MAY,ARKANSAS,Dairy,MILK,LB,68000000,,740000000,,
1980,MAY,ARKANSAS,Dairy,MILK,LB / HEAD,950,,10220,,
1980,JUN,ARKANSAS,Dairy,MILK,LB,64000000,,740000000,,
1980,JUN,ARKANSAS,Dairy,MILK,LB / HEAD,880,,10220,,
1980,JUL,ARKANSAS,Dairy,MILK,LB,62000000,,740000000,,
1980,JUL,ARKANSAS,Dairy,MILK,LB / HEAD,840,,10220,,
1980,AUG,ARKANSAS,Dairy,MILK,LB,61000000,,740000000,,
1980,AUG,ARKANSAS,Dairy,MILK,LB / HEAD,805,,10220,,
1980,SEP,ARKANSAS,Dairy,MILK,LB,59000000,,740000000,,
1980,SEP,ARKANSAS,Dairy,MILK,LB / HEAD,775,,10220,,
1980,OCT,ARKANSAS,Dairy,MILK,LB,61000000,,740000000,,
1980,OCT,ARKANSAS,Dairy,MILK,LB / HEAD,975,,10220,,
1980,NOV,ARKANSAS,Dairy,MILK,LB,58000000,,740000000,,
1980,NOV,ARKANSAS,Dairy,MILK,LB / HEAD,765,,10220,,
1980,DEC,ARKANSAS,Dairy,MILK,LB,61000000,,740000000,,
1980,DEC,ARKANSAS,Dairy,MILK,LB / HEAD,820,,10220,,
1980,JAN,CALIFORNIA,Dairy,MILK,LB,1052000000,,13577000000,,
1980,JAN,CALIFORNIA,Dairy,MILK,LB / HEAD,1195,,15145,,
1980,FEB,CALIFORNIA,Dairy,MILK,LB,999000000,Flood,13577000000,FEB,1980
1980,FEB,CALIFORNIA,Dairy,MILK,LB / HEAD,1130,Flood,15145,FEB,1980
1980,MAR,CALIFORNIA,Dairy,MILK,LB,1095000000,,13577000000,,
1980,MAR,CALIFORNIA,Dairy,MILK,LB / HEAD,1235,,15145,,
1980,APR,CALIFORNIA,Dairy,MILK,LB,1121000000,,13577000000,,
1980,APR,CALIFORNIA,Dairy,MILK,LB / HEAD,1260,,15145,,
1980,MAY,CALIFORNIA,Dairy,MILK,LB,1193000000,,13577000000,,
1980,MAY,CALIFORNIA,Dairy,MILK,LB / HEAD,1335,,15145,,
1980,JUN,CALIFORNIA,Dairy,MILK,LB,1172000000,,13577000000,,
1980,JUN,CALIFORNIA,Dairy,MILK,LB / HEAD,1305,,15145,,
1980,JUL,CALIFORNIA,Dairy,MILK,LB,1206000000,,13577000000,,
1980,JUL,CALIFORNIA,Dairy,MILK,LB / HEAD,1340,,15145,,
1980,AUG,CALIFORNIA,Dairy,MILK,LB,1207000000,,13577000000,,
1980,AUG,CALIFORNIA,Dairy,MILK,LB / HEAD,1340,,15145,,
1980,SEP,CALIFORNIA,Dairy,MILK,LB,1160000000,,13577000000,,
1980,SEP,CALIFORNIA,Dairy,MILK,LB / HEAD,1285,,15145,,
1980,OCT,CALIFORNIA,Dairy,MILK,LB,1162000000,,13577000000,,
1980,OCT,CALIFORNIA,Dairy,MILK,LB / HEAD,1285,,15145,,
1980,NOV,CALIFORNIA,Dairy,MILK,LB,1096000000,,13577000000,,
1980,NOV,CALIFORNIA,Dairy,MILK,LB / HEAD,1210,,15145,,
1980,DEC,CALIFORNIA,Dairy,MILK,LB,1114000000,,13577000000,,
1980,DEC,CALIFORNIA,Dairy,MILK,LB / HEAD,1225,,15145,,
1980,JAN,COLORADO,Dairy,MILK,LB,68000000,,858000000,,
1980,JAN,COLORADO,Dairy,MILK,LB / HEAD,955,,12145,,
1980,FEB,COLORADO,Dairy,MILK,LB,64000000,,858000000,,
1980,FEB,COLORADO,Dairy,MILK,LB / HEAD,900,,12145,,
1980,MAR,COLORADO,Dairy,MILK,LB,70000000,,858000000,,
1980,MAR,COLORADO,Dairy,MILK,LB / HEAD,1005,,12145,,
1980,APR,COLORADO,Dairy,MILK,LB,69000000,,858000000,,
1980,APR,COLORADO,Dairy,MILK,LB / HEAD,985,,12145,,
1980,MAY,COLORADO,Dairy,MILK,LB,71000000,,858000000,,
1980,MAY,COLORADO,Dairy,MILK,LB / HEAD,1025,,12145,,
1980,JUN,COLORADO,Dairy,MILK,LB,73000000,,858000000,,
1980,JUN,COLORADO,Dairy,MILK,LB / HEAD,1040,,12145,,
1980,JUL,COLORADO,Dairy,MILK,LB,78000000,,858000000,,
1980,JUL,COLORADO,Dairy,MILK,LB / HEAD,1110,,12145,,
1980,AUG,COLORADO,Dairy,MILK,LB,78000000,,858000000,,
1980,AUG,COLORADO,Dairy,MILK,LB / HEAD,1100,,12145,,
1980,SEP,COLORADO,Dairy,MILK,LB,73000000,,858000000,,
1980,SEP,COLORADO,Dairy,MILK,LB / HEAD,1015,,12145,,
1980,OCT,COLORADO,Dairy,MILK,LB,73000000,,858000000,,
1980,OCT,COLORADO,Dairy,MILK,LB / HEAD,1025,,12145,,
1980,NOV,COLORADO,Dairy,MILK,LB,69000000,,858000000,,
1980,NOV,COLORADO,Dairy,MILK,LB / HEAD,975,,12145,,
1980,DEC,COLORADO,Dairy,MILK,LB,72000000,,858000000,,
1980,DEC,COLORADO,Dairy,MILK,LB / HEAD,1010,,12145,,
1980,JAN,FLORIDA,Dairy,MILK,LB,183000000,,2028000000,,
1980,JAN,FLORIDA,Dairy,MILK,LB / HEAD,995,,10875,,
