year,month,state,category,commodity,unit,value,disasterType,yearlyValue,endMonth,endYear
1980,JAN,ALABAMA,Livestock,RED MEAT,LB,21300000,,258800000,,
1980,FEB,ALABAMA,Livestock,RED MEAT,LB,19600000,,258800000,,
1980,MAR,ALABAMA,Livestock,RED MEAT,LB,20100000,,258800000,,
1980,APR,ALABAMA,Livestock,RED MEAT,LB,22700000,,258800000,,
1980,MAY,ALABAMA,Livestock,RED MEAT,LB,23500000,,258800000,,
1980,JUN,ALABAMA,Livestock,RED MEAT,LB,22100000,,258800000,,
1980,JUL,ALABAMA,Livestock,RED MEAT,LB,21200000,,258800000,,
1980,AUG,ALABAMA,Livestock,RED MEAT,LB,21600000,,258800000,,
1980,SEP,ALABAMA,Livestock,RED MEAT,LB,20500000,,258800000,,
1980,OCT,ALABAMA,Livestock,RED MEAT,LB,23600000,,258800000,,
1980,NOV,ALABAMA,Livestock,RED MEAT,LB,20500000,,258800000,,
1980,DEC,ALABAMA,Livestock,RED MEAT,LB,22100000,,258800000,,
1980,JAN,ARIZONA,Livestock,RED MEAT,LB,19700000,,267600000,,
1980,FEB,ARIZONA,Livestock,RED MEAT,LB,18000000,Flood,267600000,FEB,1980
1980,MAR,ARIZONA,Livestock,RED MEAT,LB,16200000,,267600000,,
1980,APR,ARIZONA,Livestock,RED MEAT,LB,17400000,,267600000,,
1980,MAY,ARIZONA,Livestock,RED MEAT,LB,17300000,,267600000,,
1980,JUN,ARIZONA,Livestock,RED MEAT,LB,20200000,,267600000,,
1980,JUL,ARIZONA,Livestock,RED MEAT,LB,27500000,,267600000,,
1980,AUG,ARIZONA,Livestock,RED MEAT,LB,25400000,,267600000,,
1980,SEP,ARIZONA,Livestock,RED MEAT,LB,27900000,,267600000,,
1980,OCT,ARIZONA,Livestock,RED MEAT,LB,29900000,,267600000,,
1980,NOV,ARIZONA,Livestock,RED MEAT,LB,22700000,,267600000,,
1980,DEC,ARIZONA,Livestock,RED MEAT,LB,25400000,,267600000,,
1980,JAN,ARKANSAS,Livestock,RED MEAT,LB,10700000,,120700000,,
1980,FEB,ARKANSAS,Livestock,RED MEAT,LB,10000000,,120700000,,
1980,MAR,ARKANSAS,Livestock,RED MEAT,LB,9300000,,120700000,,
1980,APR,ARKANSAS,Livestock,RED MEAT,LB,7700000,,120700000,,
1980,MAY,ARKANSAS,Livestock,RED MEAT,LB,8700000,,120700000,,
1980,JUN,ARKANSAS,Livestock,RED MEAT,LB,9900000,,120700000,,
1980,JUL,ARKANSAS,Livestock,RED MEAT,LB,9900000,,120700000,,
1980,AUG,ARKANSAS,Livestock,RED MEAT,LB,10600000,,120700000,,
1980,SEP,ARKANSAS,Livestock,RED MEAT,LB,11000000,,120700000,,
1980,OCT,ARKANSAS,Livestock,RED MEAT,LB,12100000,,120700000,,
1980,NOV,ARKANSAS,Livestock,RED MEAT,LB,10400000,,120700000,,
1980,DEC,ARKANSAS,Livestock,RED MEAT,LB,10400000,,120700000,,
1980,JAN,CALIFORNIA,Livestock,RED MEAT,LB,151800000,,1630200000,,
1980,FEB,CALIFORNIA,Livestock,RED MEAT,LB,139500000,Flood,1630200000,FEB,1980
1980,MAR,CALIFORNIA,Livestock,RED MEAT,LB,129600000,,1630200000,,
1980,APR,CALIFORNIA,Livestock,RED MEAT,LB,140000000,,1630200000,,
1980,MAY,CALIFORNIA,Livestock,RED MEAT,LB,141000000,,1630200000,,
1980,JUN,CALIFORNIA,Livestock,RED MEAT,LB,137900000,,1630200000,,
1980,JUL,CALIFORNIA,Livestock,RED MEAT,LB,139100000,,1630200000,,
1980,AUG,CALIFORNIA,Livestock,RED MEAT,LB,136300000,,1630200000,,
1980,SEP,CALIFORNIA,Livestock,RED MEAT,LB,137500000,,1630200000,,
1980,OCT,CALIFORNIA,Livestock,RED MEAT,LB,143400000,,1630200000,,
1980,NOV,CALIFORNIA,Livestock,RED MEAT,LB,109900000,,1630200000,,
1980,DEC,CALIFORNIA,Livestock,RED MEAT,LB,124200000,,1630200000,,
1980,JAN,COLORADO,Livestock,RED MEAT,LB,83800000,,1260100000,,
1980,FEB,COLORADO,Livestock,RED MEAT,LB,100900000,,1260100000,,
1980,MAR,COLORADO,Livestock,RED MEAT,LB,116800000,,1260100000,,
1980,APR,COLORADO,Livestock,RED MEAT,LB,110700000,,1260100000,,
1980,MAY,COLORADO,Livestock,RED MEAT,LB,114700000,,1260100000,,
1980,JUN,COLORADO,Livestock,RED MEAT,LB,105500000,,1260100000,,
1980,JUL,COLORADO,Livestock,RED MEAT,LB,103600000,,1260100000,,
1980,AUG,COLORADO,Livestock,RED MEAT,LB,103800000,,1260100000,,
1980,SEP,COLORADO,Livestock,RED MEAT,LB,111800000,,1260100000,,
1980,OCT,COLORADO,Livestock,RED MEAT,LB,119600000,,1260100000,,
1980,NOV,COLORADO,Livestock,RED MEAT,LB,88200000,,1260100000,,
1980,DEC,COLORADO,Livestock,RED MEAT,LB,100700000,,1260100000,,
1980,JAN,FLORIDA,Livestock,RED MEAT,LB,20900000,,212000000,,
1980,FEB,FLORIDA,Livestock,RED MEAT,LB,17000000,,212000000,,
1980,MAR,FLORIDA,Livestock,RED MEAT,LB,15500000,,212000000,,
1980,APR,FLORIDA,Livestock,RED MEAT,LB,17000000,,212000000,,
1980,MAY,FLORIDA,Livestock,RED MEAT,LB,17200000,,212000000,,
