year,month,state,category,commodity,unit,value,disasterType,yearlyValue,endMonth,endYear
1989,JAN,ALABAMA,Poultry,CHICKENS,LB,182013000,,2314664000,,
1989,FEB,ALABAMA,Poultry,CHICKENS,LB,160971000,,2314664000,,
1989,MAR,ALABAMA,Poultry,CHICKENS,LB,191583000,,2314664000,,
1989,APR,ALABAMA,Poultry,CHICKENS,LB,178048000,,2314664000,,
1989,MAY,ALABAMA,Poultry,CHICKENS,LB,203581000,,2314664000,,
1989,JUN,ALABAMA,Poultry,CHICKENS,LB,198949000,,2314664000,,
1989,JUL,ALABAMA,Poultry,CHICKENS,LB,186194000,,2314664000,,
1989,AUG,ALABAMA,Poultry,CHICKENS,LB,216366000,,2314664000,,
1989,SEP,ALABAMA,Poultry,CHICKENS,LB,193769000,,2314664000,,
1989,OCT,ALABAMA,Poultry,CHICKENS,LB,198981000,,2314664000,,
1989,NOV,ALABAMA,Poultry,CHICKENS,LB,194026000,Convective storm,2314664000,NOV,1989
1989,DEC,ALABAMA,Poultry,CHICKENS,LB,210183000,,2314664000,,
1989,JAN,ARKANSAS,Poultry,CHICKENS,LB,212664000,,2738818000,,
1989,FEB,ARKANSAS,Poultry,CHICKENS,LB,203632000,,2738818000,,
1989,MAR,ARKANSAS,Poultry,CHICKENS,LB,228250000,,2738818000,,
1989,APR,ARKANSAS,Poultry,CHICKENS,LB,207440000,,2738818000,,
1989,MAY,ARKANSAS,Poultry,CHICKENS,LB,237422000,,2738818000,,
1989,JUN,ARKANSAS,Poultry,CHICKENS,LB,234243000,,2738818000,,
1989,JUL,ARKANSAS,Poultry,CHICKENS,LB,211406000,,2738818000,,
1989,AUG,ARKANSAS,Poultry,CHICKENS,LB,251859000,,2738818000,,
1989,SEP,ARKANSAS,Poultry,CHICKENS,LB,227947000,,2738818000,,
1989,OCT,ARKANSAS,Poultry,CHICKENS,LB,235468000,,2738818000,,
1989,NOV,ARKANSAS,Poultry,CHICKENS,LB,240470000,,2738818000,,
1989,DEC,ARKANSAS,Poultry,CHICKENS,LB,248017000,,2738818000,,
1989,JAN,ARKANSAS,Poultry,TURKEYS,LB,19117000,,294714000,,
1989,MAR,ARKANSAS,Poultry,TURKEYS,LB,23393000,,294714000,,
1989,APR,ARKANSAS,Poultry,TURKEYS,LB,25370000,,294714000,,
1989,MAY,ARKANSAS,Poultry,TURKEYS,LB,31036000,,294714000,,
1989,JUN,ARKANSAS,Poultry,TURKEYS,LB,31904000,,294714000,,
1989,JUL,ARKANSAS,Poultry,TURKEYS,LB,26134000,,294714000,,
1989,AUG,ARKANSAS,Poultry,TURKEYS,LB,32077000,,294714000,,
1989,SEP,ARKANSAS,Poultry,TURKEYS,LB,28825000,,294714000,,
1989,OCT,ARKANSAS,Poultry,TURKEYS,LB,31571000,,294714000,,
1989,NOV,ARKANSAS,Poultry,TURKEYS,LB,24133000,,294714000,,
1989,DEC,ARKANSAS,Poultry,TURKEYS,LB,21154000,,294714000,,
1989,JAN,CALIFORNIA,Poultry,CHICKENS,LB,65086000,,733314000,,
1989,FEB,CALIFORNIA,Poultry,CHICKENS,LB,55630000,Transport accident,733314000,FEB,1989
1989,MAR,CALIFORNIA,Poultry,CHICKENS,LB,64658000,,733314000,,
1989,APR,CALIFORNIA,Poultry,CHICKENS,LB,57571000,,733314000,,
1989,MAY,CALIFORNIA,Poultry,CHICKENS,LB,72564000,,733314000,,
1989,JUN,CALIFORNIA,Poultry,CHICKENS,LB,69085000,,733314000,,
1989,JUL,CALIFORNIA,Poultry,CHICKENS,LB,50763000,,733314000,,
1989,AUG,CALIFORNIA,Poultry,CHICKENS,LB,72238000,,733314000,,
1989,SEP,CALIFORNIA,Poultry,CHICKENS,LB,54270000,,733314000,,
1989,OCT,CALIFORNIA,Poultry,CHICKENS,LB,63921000,Earthquake,733314000,OCT,1989
1989,NOV,CALIFORNIA,Poultry,CHICKENS,LB,53614000,,733314000,,
1989,DEC,CALIFORNIA,Poultry,CHICKENS,LB,53914000,,733314000,,
1989,JAN,CALIFORNIA,Poultry,TURKEYS,LB,30358000,,514212000,,
1989,FEB,CALIFORNIA,Poultry,TURKEYS,LB,28868000,Transport accident,514212000,FEB,1989
1989,MAR,CALIFORNIA,Poultry,TURKEYS,LB,36247000,,514212000,,
1989,APR,CALIFORNIA,Poultry,TURKEYS,LB,31845000,,514212000,,
1989,MAY,CALIFORNIA,Poultry,TURKEYS,LB,41333000,,514212000,,
1989,JUN,CALIFORNIA,Poultry,TURKEYS,LB,46712000,,514212000,,
1989,JUL,CALIFORNIA,Poultry,TURKEYS,LB,48705000,,514212000,,
1989,AUG,CALIFORNIA,Poultry,TURKEYS,LB,53483000,,514212000,,
1989,SEP,CALIFORNIA,Poultry,TURKEYS,LB,44824000,,514212000,,
1989,OCT,CALIFORNIA,Poultry,TURKEYS,LB,52339000,Earthquake,514212000,OCT,1989
1989,NOV,CALIFORNIA,Poultry,TURKEYS,LB,57652000,,514212000,,
1989,DEC,CALIFORNIA,Poultry,TURKEYS,LB,41846000,,514212000,,
1989,JAN,DELAWARE,Poultry,CHICKENS,LB,66498000,,790993000,,
1989,FEB,DELAWARE,Poultry,CHICKENS,LB,60009000,,790993000,,
1989,MAR,DELAWARE,Poultry,CHICKENS,LB,70416000,,790993000,,
1989,APR,DELAWARE,Poultry,CHICKENS,LB,66313000,,790993000,,
1989,MAY,DELAWARE,Poultry,CHICKENS,LB,73283000,,790993000,,
1989,JUN,DELAWARE,Poultry,CHICKENS,LB,67992000,,790993000,,
1989,JUL,DELAWARE,Poultry,CHICKENS,LB,60065000,,790993000,,
1989,AUG,DELAWARE,Poultry,CHICKENS,LB,68767000,,790993000,,
1989,SEP,DELAWARE,Poultry,CHICKENS,LB,64207000,,790993000,,
1989,OCT,DELAWARE,Poultry,CHICKENS,LB,67471000,,790993000,,
1989,NOV,DELAWARE,Poultry,CHICKENS,LB,61421000,,790993000,,
1989,DEC,DELAWARE,Poultry,CHICKENS,LB,64551000,,790993000,,
1989,JAN,FLORIDA,Poultry,CHICKENS,LB,27505000,,356889000,,
1989,FEB,FLORIDA,Poultry,CHICKENS,LB,27135000,,356889000,,
1989,MAR,FLORIDA,Poultry,CHICKENS,LB,29857000,,356889000,,
1989,APR,FLORIDA,Poultry,CHICKENS,LB,26947000,,356889000,,
1989,MAY,FLORIDA,Poultry,CHICKENS,LB,31400000,,356889000,,
1989,JUN,FLORIDA,Poultry,CHICKENS,LB,30876000,,356889000,,
1989,JUL,FLORIDA,Poultry,CHICKENS,LB,29898000,,356889000,,
1989,AUG,FLORIDA,Poultry,CHICKENS,LB,34164000,,356889000,,
1989,SEP,FLORIDA,Poultry,CHICKENS,LB,29348000,,356889000,,
1989,OCT,FLORIDA,Poultry,CHICKENS,LB,30500000,,356889000,,
1989,NOV,FLORIDA,Poultry,CHICKENS,LB,29220000,,356889000,,
1989,DEC,FLORIDA,Poultry,CHICKENS,LB,30039000,,356889000,,
1989,JAN,GEORGIA,Poultry,CHICKENS,LB,200447000,,2463051000,,
1989,FEB,GEORGIA,Poultry,CHICKENS,LB,186807000,,2463051000,,
1989,MAR,GEORGIA,Poultry,CHICKENS,LB,217130000,,2463051000,,
1989,APR,GEORGIA,Poultry,CHICKENS,LB,187644000,,2463051000,,
1989,MAY,GEORGIA,Poultry,CHICKENS,LB,225591000,,2463051000,,
1989,JUN,GEORGIA,Poultry,CHICKENS,LB,216157000,,2463051000,,
1989,JUL,GEORGIA,Poultry,CHICKENS,LB,194131000,,2463051000,,
1989,AUG,GEORGIA,Poultry,CHICKENS,LB,223521000,,2463051000,,
1989,SEP,GEORGIA,Poultry,CHICKENS,LB,202222000,,2463051000,,
1989,OCT,GEORGIA,Poultry,CHICKENS,LB,206686000,,2463051000,,
1989,NOV,GEORGIA,Poultry,CHICKENS,LB,200110000,,2463051000,,
1989,DEC,GEORGIA,Poultry,CHICKENS,LB,202605000,,2463051000,,
1989,JAN,IOWA,Poultry,TURKEYS,LB,17816000,,293844000,,
1989,FEB,IOWA,Poultry,TURKEYS,LB,15965000,,293844000,,
1989,MAR,IOWA,Poultry,TURKEYS,LB,17796000,,293844000,,
1989,APR,IOWA,Poultry,TURKEYS,LB,15343000,,293844000,,
1989,MAY,IOWA,Poultry,TURKEYS,LB,24957000,,293844000,,
1989,JUN,IOWA,Poultry,TURKEYS,LB,29305000,,293844000,,
1989,JUL,IOWA,Poultry,TURKEYS,LB,27384000,Transport accident,293844000,JUL,1989
1989,AUG,IOWA,Poultry,TURKEYS,LB,30465000,,293844000,,
1989,SEP,IOWA,Poultry,TURKEYS,LB,28286000,,293844000,,
1989,OCT,IOWA,Poultry,TURKEYS,LB,30185000,,293844000,,
1989,NOV,IOWA,Poultry,TURKEYS,LB,29968000,,293844000,,
1989,DEC,IOWA,Poultry,TURKEYS,LB,26374000,,293844000,,
1989,JAN,LOUISIANA,Poultry,CHICKENS,LB,25878000,,308539000,,
1989,FEB,LOUISIANA,Poultry,CHICKENS,LB,24006000,,308539000,,
1989,MAR,LOUISIANA,Poultry,CHICKENS,LB,27560000,,308539000,,
1989,APR,LOUISIANA,Poultry,CHICKENS,LB,24269000,,308539000,,
1989,MAY,LOUISIANA,Poultry,CHICKENS,LB,27245000,,308539000,,
1989,JUN,LOUISIANA,Poultry,CHICKENS,LB,27893000,,308539000,,
1989,JUL,LOUISIANA,Poultry,CHICKENS,LB,23262000,,308539000,,
1989,AUG,LOUISIANA,Poultry,CHICKENS,LB,27776000,,308539000,,
1989,SEP,LOUISIANA,Poultry,CHICKENS,LB,24962000,,308539000,,
1989,OCT,LOUISIANA,Poultry,CHICKENS,LB,25927000,,308539000,,
1989,NOV,LOUISIANA,Poultry,CHICKENS,LB,25219000,,308539000,,
1989,DEC,LOUISIANA,Poultry,CHICKENS,LB,24542000,,308539000,,
1989,JAN,MARYLAND,Poultry,CHICKENS,LB,43870000,,530053000,,
1989,FEB,MARYLAND,Poultry,CHICKENS,LB,37644000,,530053000,,
1989,MAR,MARYLAND,Poultry,CHICKENS,LB,46168000,,530053000,,
1989,APR,MARYLAND,Poultry,CHICKENS,LB,43878000,,530053000,,
1989,MAY,MARYLAND,Poultry,CHICKENS,LB,46362000,,530053000,,
1989,JUN,MARYLAND,Poultry,CHICKENS,LB,45217000,,530053000,,
1989,JUL,MARYLAND,Poultry,CHICKENS,LB,41576000,,530053000,,
1989,AUG,MARYLAND,Poultry,CHICKENS,LB,48883000,,530053000,,
1989,SEP,MARYLAND,Poultry,CHICKENS,LB,44760000,,530053000,,
1989,OCT,MARYLAND,Poultry,CHICKENS,LB,45274000,,530053000,,
1989,NOV,MARYLAND,Poultry,CHICKENS,LB,43671000,,530053000,,
1989,DEC,MARYLAND,Poultry,CHICKENS,LB,42750000,,530053000,,
1989,JAN,MINNESOTA,Poultry,TURKEYS,LB,19839000,Miscellaneous accident,557247000,JAN,1989
1989,FEB,MINNESOTA,Poultry,TURKEYS,LB,26400000,,557247000,,
1989,MAR,MINNESOTA,Poultry,TURKEYS,LB,35533000,,557247000,,
